범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기 고양,경기 과천,경기 광명,경기 광주,경기 구리,경기 군포,경기 김포,경기 남양주,경기 동두천,경기 부천,경기 성남,경기 수원,경기 시흥,경기 안산,경기 안성,경기 안양,경기 양주,경기 여주,경기 오산,경기 용인,경기 의왕,경기 의정부,경기 이천,경기 파주,경기 평택,경기 포천,경기 하남,경기 화성,강원 강릉,강원 동해,강원 삼척,강원 속초,강원 원주,강원 춘천,강원 태백,충북 제천,충북 청주,충북 충주,충남 계룡,충남 공주,충남 논산,충남 당진,충남 보령,충남 서산,충남 아산,충남 천안,전북 군산,전북 김제,전북 남원,전북 익산,전북 전주,전북 정읍,전남 광양,전남 나주,전남 목포,전남 순천,전남 여수,경북 경산,경북 경주,경북 구미,경북 김천,경북 문경,경북 상주,경북 안동,경북 영주,경북 영천,경북 포항,경남 거제,경남 김해,경남 밀양,경남 사천,경남 양산,경남 진주,경남 창원,경남 통영,제주 서귀포,제주 제주,기타도시,도시이외
강력범죄,살인기수,35,29,16,14,1,6,8,2,6,0,2,0,1,2,1,3,1,4,5,6,1,5,2,1,1,1,2,4,2,1,2,1,3,1,1,6,2,2,1,0,3,2,0,0,5,0,0,0,0,1,1,4,3,4,2,2,0,1,6,1,2,0,2,2,3,0,0,3,1,0,0,2,0,1,3,2,0,1,2,1,2,5,0,1,3,4,19
강력범죄,살인미수등,68,24,15,38,2,11,7,3,8,0,2,3,1,0,4,5,1,3,6,7,7,6,3,4,0,2,1,9,0,5,3,3,5,1,3,5,3,1,0,0,0,2,1,2,8,2,1,0,1,4,0,2,7,13,5,3,1,3,3,1,1,0,2,2,2,1,1,3,1,1,1,0,0,1,4,1,8,2,0,3,1,11,1,4,4,1,43
강력범죄,강도,118,43,31,30,10,17,10,2,4,0,4,1,1,0,2,6,0,11,13,8,8,9,6,3,4,1,1,1,2,4,0,3,6,0,5,4,2,4,2,1,1,4,0,2,19,0,0,0,0,1,1,5,3,12,2,2,0,3,3,0,1,0,2,7,0,2,1,3,0,0,0,0,1,1,3,3,4,1,1,0,0,12,5,1,4,1,28
강력범죄,강간,1200,347,215,340,152,200,112,26,63,2,17,18,15,23,34,40,12,93,69,144,51,80,24,35,20,10,35,64,7,73,16,46,67,15,22,53,30,3,8,15,35,35,5,18,103,28,5,7,13,19,25,12,38,95,26,3,5,24,81,12,14,15,36,31,21,33,21,42,11,2,6,13,14,6,65,29,44,6,12,36,41,77,19,17,78,18,375
강력범죄,유사강간,219,83,43,61,32,34,14,6,13,0,3,2,1,0,3,5,1,18,19,25,12,14,1,7,3,2,3,15,0,6,4,10,7,1,4,10,8,2,1,1,8,8,0,0,13,2,1,9,1,4,1,0,3,12,4,2,0,2,9,1,1,1,9,8,6,10,2,6,3,0,1,2,5,2,7,3,7,0,2,3,2,14,4,8,13,3,52
강력범죄,강제추행,4358,1064,648,1030,391,500,311,73,241,10,76,81,38,59,97,118,45,292,269,394,146,236,62,148,50,31,69,185,16,154,64,125,177,48,50,186,72,17,20,32,80,74,12,34,257,63,5,17,22,51,31,58,86,213,68,12,13,58,190,21,23,32,80,67,72,51,65,72,20,8,14,38,20,19,126,59,118,23,25,66,97,232,38,84,201,18,848
강력범죄,기타강간강제추행등,35,14,9,16,8,2,10,1,4,0,2,0,0,0,1,0,0,1,6,10,3,3,2,4,1,1,2,2,1,0,0,2,3,1,1,1,1,0,0,1,3,1,2,1,4,3,0,0,2,0,0,1,1,3,0,0,2,1,1,0,0,0,1,1,3,1,2,1,0,0,0,0,0,0,5,0,1,1,1,0,1,5,2,0,3,1,23
강력범죄,방화,217,89,50,70,35,40,28,8,19,0,2,5,3,6,7,11,3,26,11,27,11,26,5,12,4,5,4,17,1,6,3,8,22,7,5,16,3,1,2,1,7,9,2,3,22,4,1,7,2,6,2,6,5,8,9,3,0,5,20,2,2,0,7,6,8,4,5,11,6,1,4,10,1,4,14,2,13,5,5,4,10,24,5,9,20,0,114
절도범죄,절도범죄,37594,13699,9792,8895,5204,6034,3283,1110,2484,212,932,978,478,753,1461,1420,345,3423,3050,4704,1861,2862,629,1593,423,308,875,2724,219,1234,739,1207,2344,418,786,2512,632,222,222,239,1250,857,90,383,3435,758,75,332,383,409,253,520,1263,3069,884,166,232,969,2185,546,446,418,1287,966,809,1014,1208,1744,493,180,350,443,246,283,2508,794,2757,308,342,1158,2114,3426,387,886,2247,43,9454
폭력범죄,상해,3353,2478,1568,1545,641,831,683,119,267,22,117,130,54,119,122,242,81,324,429,390,212,323,150,216,83,72,138,220,43,168,103,161,313,97,36,282,169,75,58,72,207,146,39,112,603,80,17,84,90,81,71,93,175,368,148,56,43,99,315,91,127,59,161,219,197,149,193,197,84,58,74,103,83,92,347,185,387,121,113,221,251,635,134,213,351,16,2612
폭력범죄,폭행,26509,8474,5629,8040,3430,4166,2574,400,2414,95,788,1181,426,549,1200,1241,276,2438,2194,3309,1425,2251,587,1180,550,245,633,1916,179,1367,624,1249,1912,346,566,2153,482,250,154,284,686,611,92,255,1756,413,22,124,188,388,172,400,593,1329,557,166,196,753,1252,128,314,195,854,747,652,535,441,989,206,85,110,348,174,274,726,525,1084,168,246,803,800,2289,334,625,2169,53,5704
폭력범죄,체포감금,243,66,41,100,33,31,35,3,18,0,5,9,2,1,11,13,4,18,22,30,16,19,2,12,3,2,3,13,4,20,4,16,9,2,5,12,2,0,0,4,7,4,0,3,15,5,0,1,0,3,3,5,8,21,1,3,2,3,15,2,3,2,17,5,5,9,3,5,0,1,1,3,2,2,14,10,8,1,3,3,9,18,0,4,21,4,58
폭력범죄,협박,4162,1402,933,1411,424,595,397,86,450,16,123,230,60,88,178,216,52,457,403,589,314,350,88,227,83,69,101,319,44,219,116,203,300,56,93,400,84,32,32,54,130,131,17,39,308,93,7,46,30,73,39,80,132,245,98,29,37,84,208,32,80,42,157,135,155,115,71,162,59,21,23,83,39,32,107,106,195,55,54,141,127,311,61,109,386,82,1345
폭력범죄,약취유인,72,17,7,18,8,2,5,2,10,0,1,1,2,0,4,2,1,7,8,5,3,6,1,4,0,1,1,8,0,2,0,4,1,1,2,2,1,0,0,0,6,2,0,1,13,1,0,0,1,0,0,0,4,0,0,0,0,1,2,0,0,1,2,1,2,1,2,1,0,0,0,0,1,0,0,2,3,0,0,1,5,1,0,0,1,1,11
폭력범죄,폭력행위등,1075,572,277,501,196,211,198,25,119,3,44,36,21,10,44,58,25,133,96,160,44,134,21,58,22,8,22,69,4,65,55,39,84,17,27,90,29,19,8,16,54,40,7,10,118,28,3,14,17,25,26,17,59,86,47,7,17,43,94,21,18,13,73,51,37,38,46,62,9,5,22,22,16,7,76,25,57,20,17,47,33,127,47,56,97,4,352
폭력범죄,공갈,1056,503,189,591,113,232,71,25,68,1,42,38,5,38,55,54,13,153,118,246,55,93,20,30,20,25,62,142,17,106,26,39,129,13,41,107,21,10,5,10,25,60,2,6,176,32,4,18,14,15,9,27,20,99,35,13,7,21,93,6,7,13,13,41,53,14,21,77,18,3,11,8,4,6,44,20,88,13,7,50,59,126,21,28,72,465,358
폭력범죄,손괴,10240,3730,2716,3089,1457,1696,1079,250,860,37,336,542,183,249,514,563,144,1172,953,1599,786,1104,288,550,208,132,326,791,49,587,322,521,936,184,284,808,252,123,94,126,466,325,42,139,1033,251,23,105,119,188,96,234,311,794,281,41,71,227,555,113,144,144,237,350,355,390,301,435,154,55,103,197,86,125,525,281,548,102,107,302,387,1095,155,374,881,13,3486
지능범죄,직무유기,353,130,64,95,31,33,18,26,5,23,4,2,4,6,3,13,2,31,11,33,11,15,2,16,3,4,6,15,19,11,10,4,13,6,9,21,3,3,2,1,5,10,0,3,18,4,0,2,5,4,2,1,4,13,8,4,1,10,47,3,1,3,11,7,8,7,2,5,5,0,1,6,2,4,12,3,5,2,1,8,4,14,15,0,16,37,166
지능범죄,직권남용,392,156,47,78,64,51,19,21,24,21,2,3,6,3,6,22,2,38,45,67,8,22,7,28,4,4,7,18,18,15,8,6,11,6,8,22,9,0,1,3,4,12,0,1,12,12,1,2,14,4,0,2,4,17,10,5,2,1,36,19,4,6,14,14,8,3,2,7,4,9,3,6,2,8,12,0,2,2,0,18,10,14,5,4,19,58,128
지능범죄,증수뢰,71,17,7,21,11,13,7,1,2,2,1,1,1,2,1,2,0,1,10,5,0,3,0,0,1,1,0,7,0,23,1,0,4,2,2,1,1,1,1,0,0,0,0,2,1,1,0,0,1,0,0,1,0,4,1,1,0,2,2,1,1,0,1,0,2,1,0,3,6,1,0,0,0,0,2,0,7,0,0,3,2,7,0,0,1,11,31
지능범죄,통화,172,20,27,29,10,7,1,3,11,0,2,3,1,2,4,9,0,3,22,10,1,3,1,2,2,0,0,3,0,5,3,5,4,2,1,2,1,1,0,7,1,3,0,1,4,0,3,1,1,0,0,0,3,2,6,0,2,1,3,1,0,1,0,1,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,1,2,0,0,2,12,13
지능범죄,문서인장,2033,897,459,581,319,336,206,70,182,17,35,64,36,22,74,126,30,150,130,250,104,137,46,73,34,26,49,169,17,77,42,87,118,34,35,147,46,8,6,18,78,79,5,20,165,43,4,24,36,26,18,38,65,148,47,13,24,39,163,20,24,30,66,48,168,59,42,61,19,17,28,24,18,16,73,41,153,27,19,62,57,184,28,35,146,626,843
지능범죄,유가증권인지,25,7,3,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1
지능범죄,사기,52034,26847,14836,16652,8249,11734,5615,1528,5201,260,1467,1911,749,1207,1829,2967,595,5611,4169,6593,3101,4079,1002,2320,1245,739,1377,3973,580,3155,1267,3184,4368,901,1501,3670,1054,255,352,859,2450,1582,193,603,5676,1317,103,553,800,667,444,952,1421,5409,2127,377,475,2178,4178,581,911,394,1716,1530,1695,1444,1497,3150,600,253,440,839,468,459,3206,1519,3296,568,625,2055,2583,7204,1193,1599,3996,25191,16295
지능범죄,횡령,16368,4469,2643,4175,1666,1456,759,248,1737,81,319,349,268,200,659,691,124,1161,1000,1440,567,731,225,674,203,89,264,775,69,725,203,653,611,118,557,697,208,54,56,83,262,178,16,81,703,139,18,78,67,119,79,126,257,789,198,46,48,205,505,56,82,71,244,226,249,354,300,292,120,27,48,84,48,79,304,186,440,44,51,265,231,1069,117,225,646,993,2080
지능범죄,배임,791,273,106,184,112,105,72,13,63,12,14,25,13,9,37,56,3,27,45,53,20,43,10,33,13,6,9,70,7,22,8,42,45,6,11,62,17,1,3,4,22,13,3,6,38,6,2,11,9,18,8,14,21,49,17,6,2,18,30,2,13,6,18,17,19,10,18,17,11,13,5,10,0,9,21,11,38,7,7,17,17,70,9,12,52,176,263
풍속범죄,성풍속범죄,4924,1602,1125,1507,577,733,449,120,465,16,142,122,98,120,174,271,44,419,437,639,201,399,73,205,61,31,124,344,56,216,77,224,290,57,109,296,72,19,12,41,133,109,11,39,329,71,5,32,18,43,26,59,112,347,102,12,17,81,302,25,54,41,112,95,62,129,58,194,32,11,13,68,19,28,162,73,175,27,34,126,112,391,39,82,216,786,747
풍속범죄,도박범죄,545,384,138,239,102,181,248,13,36,12,11,19,4,12,23,30,3,58,58,647,55,48,23,64,17,5,12,36,7,41,9,23,38,17,23,49,9,8,8,12,20,41,3,10,68,19,0,5,19,18,6,10,12,58,26,5,7,33,34,7,11,3,31,14,14,16,12,16,9,3,0,13,13,8,23,21,26,2,6,23,7,53,9,13,49,110,290
특별경제범죄,특별경제범죄,10374,3996,1917,3025,1332,1226,794,169,956,43,238,344,143,382,420,432,89,939,946,946,525,717,148,552,168,65,193,594,57,449,176,489,591,116,200,718,118,73,45,105,253,211,34,67,626,268,8,58,71,116,72,128,280,595,385,81,39,132,429,69,95,81,233,156,208,199,349,366,92,46,46,101,50,67,273,163,408,55,66,277,376,796,114,186,595,2460,2025
마약범죄,마약범죄,2821,856,306,1062,129,101,107,29,119,3,28,34,27,14,62,92,18,89,73,211,99,144,42,64,35,36,31,106,21,100,49,58,127,81,42,147,10,10,6,12,63,85,8,19,105,103,1,45,12,30,30,45,33,115,18,3,7,19,32,15,11,20,29,38,33,26,54,59,19,13,16,37,19,16,29,27,139,23,18,51,55,226,62,7,44,71,1000
보건범죄,보건범죄,4260,2581,777,1048,431,303,347,60,240,16,59,120,53,50,72,85,15,271,332,338,165,211,92,158,72,17,59,136,11,89,45,100,229,17,74,193,79,26,19,50,123,100,6,42,249,65,3,18,10,20,62,30,66,208,63,8,19,52,190,32,56,20,117,110,106,77,55,134,43,17,16,29,14,11,122,112,182,71,54,93,104,291,68,47,170,108,856
환경범죄,환경범죄,50,243,16,87,7,23,29,7,46,0,9,42,7,0,7,43,6,12,7,12,72,105,4,2,66,13,14,111,1,7,41,79,168,92,14,464,2,12,5,6,13,7,0,0,8,8,1,4,4,2,3,3,4,88,5,4,1,3,17,4,11,2,20,5,74,0,65,4,23,3,18,8,0,2,43,22,188,36,46,7,31,71,33,11,21,49,574
교통범죄,교통범죄,32013,12176,12610,11926,7827,6389,5754,1031,3967,386,928,2328,1360,785,2739,2724,377,3903,4106,5837,4071,4518,1364,2072,1212,795,1149,3981,623,1837,1495,2267,5276,1042,1121,4615,1340,312,338,423,2034,1577,200,664,4297,1266,85,647,698,1371,742,1045,1841,3888,1350,398,321,1146,2912,550,940,516,1577,1347,1847,1327,1443,2371,682,251,433,742,441,663,2478,1239,2710,574,751,1573,1376,4023,825,1382,3052,323,20094
노동범죄,노동범죄,83,37,19,14,9,21,1,0,21,0,1,4,0,1,0,2,0,5,5,11,6,1,2,0,1,0,3,3,0,1,1,3,8,1,1,7,1,1,2,1,3,1,0,1,2,1,0,2,1,1,3,0,1,2,277,0,0,0,2,0,0,1,4,2,3,1,9,1,0,1,0,1,1,0,5,2,8,1,1,6,7,5,0,9,27,13,32
안보범죄,안보범죄,61,13,6,7,4,4,4,2,0,0,0,0,0,1,0,1,0,1,1,3,2,1,1,0,1,0,0,4,0,45,0,3,2,0,1,3,3,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3,0,0,0,1,1,0,2,1,12,9
선거범죄,선거범죄,552,138,128,104,104,50,50,14,23,14,10,9,16,11,6,9,8,28,90,45,21,21,26,30,14,4,7,29,8,13,13,12,16,8,4,12,7,5,3,5,29,15,5,12,26,13,1,4,6,5,2,8,10,39,20,3,9,16,17,7,17,9,71,21,30,13,5,14,15,9,13,23,7,6,17,15,13,3,18,25,16,53,7,21,29,124,461
병역범죄,병역범죄,935,164,207,400,109,68,64,20,126,4,18,42,25,18,45,109,14,70,82,109,48,52,28,66,42,9,20,106,10,43,41,63,56,24,23,56,25,14,1,6,32,7,3,9,41,12,2,4,19,11,4,4,23,34,20,2,1,30,34,6,7,2,23,8,21,35,14,67,15,1,7,9,2,14,33,11,38,8,4,25,13,56,9,12,27,303,214
기타범죄,기타범죄,48367,24440,8821,17865,5177,5758,4016,1009,3852,277,1218,1453,878,751,2240,2667,486,3883,4112,4988,2317,3036,920,1763,1086,543,1005,4180,395,1834,862,1842,5779,689,919,3350,831,522,353,423,1505,1193,146,439,3097,732,57,385,511,1089,1066,656,1327,2681,3596,236,272,946,2621,344,476,354,2901,978,3629,950,1272,1314,493,175,316,517,294,407,3224,1894,2128,401,527,1348,1286,5339,3261,1455,3575,8013,23631
